company_code,company_name,package_id,event_family,event_title,start_page,end_page,primary_pages,supporting_pages,all_pages,start_anchor,end_anchor,supporting_anchor,expected_outputs,is_mixed_page,is_non_contiguous,needs_manual_review,boundary_notes,evidence_excerpt
688758,赛分科技,688758_establishment_001,establishment,2009年赛分有限设立及分期实缴,50,51,50|51,,50|51,（一）公司前身赛分有限的设立情况,（二）股份公司的设立情况,,subscription_flow|equity_snapshot,yes,no,no,第51页上半部完成第二期、第三期实缴及设立时股权结构，下半部开始整体变更；本包在“（二）股份公司的设立情况”前结束。,"赛分有限注册资本1,000万元，首期实缴400万元，2010年实缴100万元，2011年实缴500万元，至此注册资本全部实缴完毕。"
688758,赛分科技,688758_overall_conversion_001,overall_conversion,2021年赛分有限整体变更设立赛分科技,51,53,51|52|53,,51|52|53,（二）股份公司的设立情况,（三）报告期内的股本和股东变化情况,,overall_conversion|equity_snapshot,yes,no,no,第51页前半部仍属于设立实缴；整体变更后发起人股权结构表从第52页延续至第53页，本包在报告期内股本变化章节前结束。,"以2021年5月31日经审计净资产295,800,700.26元按10.7537:1折为27,506,769股，余额计入资本公积。"
688758,赛分科技,688758_equity_snapshot_001,equity_snapshot,报告期初赛分有限股权结构,53,54,53|54,,53|54,"报告期初，公司注册资本2,408.00万元，其股权结构如下",报告期内的股本和股东变化情况如下,,equity_snapshot,yes,no,no,第53页上半部先完成整体变更后的发起人表及会计处理，下半部开始报告期初结构；第54页完成16名股东及合计。,"报告期初注册资本2,408.00万元，16名股东认缴和实缴出资合计2,408.00万元、100.00%。"
688758,赛分科技,688758_share_transfer_001,share_transfer_flow,2021年4月报告期内第一次股权转让,55,56,55|56,,55|56,（1）报告期内第一次股权转让,（2）报告期内第一次增资,,share_transfer_flow,yes,no,no,转让表从第55页延续到第56页上半部；第56页随后开始第一次增资，因此两个事件共享第56页。,黄学英将赛分有限58.2243万元注册资本分别转让给复星惟盈、朱勤华、唐斌及张敏，转让单价51.52元/注册资本。
688758,赛分科技,688758_subscription_001,subscription_flow,2021年4月报告期内第一次增资,56,57,56|57,,56|57,（2）报告期内第一次增资,2、2021年8月，报告期内第二次股权转让,,subscription_flow|equity_snapshot,yes,no,no,第56页包含增资决议、认购表及增资后结构开头，第57页完成结构表后开始第二次股权转让。,"注册资本增加342.6769万元至2,750.6769万元，国寿疌泉、复星惟盈、唐斌、张敏以1.85亿元认购。"
688758,赛分科技,688758_share_transfer_002,share_transfer_flow,2021年8月报告期内第二次股权转让,57,58,57|58,,57|58,2、2021年8月，报告期内第二次股权转让,3、2021年9月，整体变更为股份公司,,share_transfer_flow|equity_snapshot,yes,no,no,第57页下半部开始转让背景，第58页完成协议、免税证明和转让后结构；随后出现整体变更交叉引用。,黄学英将公司22.00万元注册资本、占比0.8%，以0元价格转让给高新同华，用于解决业绩承诺与补偿。
688758,赛分科技,688758_subscription_002,subscription_flow,2021年11月报告期内第二次增资,59,60,59|60,,59|60,4、2021年11月，报告期内第二次增资,5、2021年12月，报告期内第三次增资,,subscription_flow|equity_snapshot,yes,no,no,"第59页披露10名新增股东认购4,243,901股及认购表，第60页完成增资后31名股东结构后开始第三次增资。","赛分科技增发4,243,901股，10名新增股东合计认购54,000万元，股份价格主要为127.24元/股。"
688758,赛分科技,688758_subscription_003,subscription_flow,2021年12月报告期内第三次增资,60,62,60|61|62,,60|61|62,5、2021年12月，报告期内第三次增资,6、2021年12月，报告期内第一次资本公积转增股本,,subscription_flow|equity_snapshot,yes,no,no,第60页下半部开始第三次增资，第61—62页完成增资后32名股东结构及股东协议特别权利说明，在资本公积转增标题前结束。,"赛分科技增发117,886股，由聚贝投资以1,500万元认购；增资后总股本31,868,556股。"
688758,赛分科技,688758_capitalization_001,capitalization,2021年12月资本公积转增股本,62,64,62|63|64,,62|63|64,6、2021年12月，报告期内第一次资本公积转增股本,三、公司成立以来重要事件,,capitalization|equity_snapshot,yes,no,no,第62页下半部开始转增，第63—64页完成转增后32名股东结构；第64页下半部美国赛分股份收购属于子公司事件，应在新章节前终止。,"以31,868,556股为基数每10股转增105股，共转增334,619,838股，股本变为366,488,394股。"
688758,赛分科技,688758_equity_snapshot_002,equity_snapshot,招股说明书签署日发行人完整股东结构,65,66,65|66,,65|66,五、公司股权关系与内部组织结构（一）公司股权关系,（二）公司内部组织结构,,equity_snapshot,yes,no,no,第65—66页列示签署日32名股东及合计；第66页表后进入内部组织结构和子公司情况，应在该小标题前结束。,"签署日公司股本总数366,488,394股，32名股东持股合计100.0000%。"
