company_code,event_family,package_id,field_path,status,gold_value,auto_value,note,source_file
001282,subscription_flow,001282_subscription_flow_001,event_family,MATCH,"""subscription_flow""","""subscription_flow""",,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,flow_subtype,MISMATCH,"""cash_increase""","""mixed_increase""",值不一致,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,currency,MATCH,"""CNY""","""CNY""",,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,post_event_snapshot_present,MATCH,true,true,,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,decision_date,MATCH,"{""iso_date"": ""2019-12-04"", ""raw_text"": ""2019年12月4日""}","{""iso_date"": ""2019-12-04"", ""raw_text"": ""2019年12月4日""}",,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,agreement_date,MATCH,null,null,,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,payment_date,MATCH,"{""iso_date"": ""2019-12-30"", ""raw_text"": ""截至2019年12月30日""}","{""iso_date"": ""2019-12-30"", ""raw_text"": ""2019年12月30日""}",,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,verification_date,MISMATCH,"{""iso_date"": ""2020-01-09"", ""raw_text"": ""2020年1月9日""}","{""iso_date"": ""2019-12-30"", ""raw_text"": ""2019年12月30日""}",gold_iso=2020-01-09; auto_iso=2019-12-30,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,registration_date,MATCH,"{""iso_date"": ""2019-12-17"", ""raw_text"": ""2019年12月17日""}","{""iso_date"": ""2019-12-17"", ""raw_text"": ""2019年12月17日""}",,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,effective_date,MATCH,"{""iso_date"": ""2019-12-17"", ""raw_text"": ""2019年12月17日""}","{""iso_date"": ""2019-12-17"", ""raw_text"": ""2019年12月17日""}",,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,registration_capital_before,MATCH,"{""normalized_unit"": ""CNY"", ""normalized_value"": 81500000, ""raw_text"": ""8,150万元"", ""unit"": ""万元"", ""value"": 8150}","{""normalized_unit"": ""CNY"", ""normalized_value"": 81500000, ""raw_text"": ""8,150万元"", ""unit"": ""万元"", ""value"": 8150}",,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,registration_capital_after,MATCH,"{""normalized_unit"": ""CNY"", ""normalized_value"": 84980000, ""raw_text"": ""8,498万元"", ""unit"": ""万元"", ""value"": 8498}","{""normalized_unit"": ""CNY"", ""normalized_value"": 84980000, ""raw_text"": ""8,498万元"", ""unit"": ""万元"", ""value"": 8498}",,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,total_shares_before,MISSING_AUTO,"{""normalized_unit"": ""share"", ""normalized_value"": 81500000, ""raw_text"": ""8,150万股"", ""unit"": ""万股"", ""value"": 8150}",null,自动结果缺少 normalized_value,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
001282,subscription_flow,001282_subscription_flow_001,total_shares_after,MISSING_AUTO,"{""normalized_unit"": ""share"", ""normalized_value"": 84980000, ""raw_text"": ""8,498万股"", ""unit"": ""万股"", ""value"": 8498}",null,自动结果缺少 normalized_value,evaluation\field_level\001282_subscription_flow_comparison_v1.csv
